text,label,notes
"Last Week of 2023 in Brief: Most Advanced iPhone Backdoor Discovered, Mint and EasyPark Breached and More",news,auto-labeled
"Thinking to Switch my domain to cyber security. Hello mates, 

I'm working in an MNC company as an oracle developer but nowadays I'm very bored of managing db's and doing data manipulation stuffs. So I thought of doing a masters in Cyber Security and change my career from Oracle Dev to Cyber security analyst. WhT would be you guys suggestion?? An",discussion,auto-labeled
Useful Cyber Certifications to start working with political science master’s degree,discussion,auto-labeled
Certified CyberDefenders certification worth it for a newby?,discussion,auto-labeled
"ML/AI learning path. Hi there,
I'm looking to learn ML/AI to develop detection algorithms as a part of a new purple team member. What's the ideal learning path I should follow? I was looking at Sans 595 and SEC699, what do you think? What are the alternatives? I couldn't find much on ML applied to threat hunting.

Thank",discussion,auto-labeled
Certified CyberDefenders Certification worth it?,discussion,auto-labeled
2023 round up of Kuberenetes exploits and the ones in the eco-system. I was waiting with baited breathe for December to end to release [this review](https://www.armosec.io/blog/kubernetes-vulnerabilities-2023/) of the the CVEs applicable to the cloud-native landscape. I hope you find this informative and helpful.,news,auto-labeled
Currently Making A Learning Gameplan,discussion,auto-labeled
"Cuckoo3 Sandbox - reports of jobs seems to be swaped. Hay guys,

first a happy new year.

I installed a cuckoo3 sandbox to learn new cybersecurity stuff with this tutorial: [https://reversingfun.com/posts/cuckoo-3-installation-guide/](https://reversingfun.com/posts/cuckoo-3-installation-guide/) (I did not run the postinstallation guide, because i think",discussion,auto-labeled
I need guidance in certificate? Beginner,discussion,auto-labeled
Has anyone tried Certified CyberDefenders?,discussion,auto-labeled
Ideas for projects. Hi! I’m kinda lackin’ the inspiration for projects in red teaming so I taught I’d ask you guys. What would you recommend trying (regardless of knowledge) ??,discussion,auto-labeled
"Choosing between two positions. So I am probably going to receive an offer from two banks.  

\-One of them is the biggest bank in my country. The position is basically risk specialist/organizing vulnerability management.  

\-The second one is a smaller, younger bank, and I will partake in creating the vulnerability management pr",discussion,auto-labeled
"Getting the f***k out of GRC!. Hello, everyone!

I write this seeking advice from those that were in GRC and got into a more technical role (others are also more than welcome) because I fucking HATE the job/work. I provide mainly support, by researching norms and developing documents accordingly and that's it. I hate it. I can't ",discussion,auto-labeled
Was there a cybersecurity breach that impacted canadian critical infrastructure?,discussion,auto-labeled
Question about a domain my phones connecting to,discussion,auto-labeled
How to find fresher job in Mumbai( India) or remote ?,discussion,auto-labeled
I need advice starting a Cybersecurity Career,discussion,auto-labeled
News: Atom Security acquired by Mend,news,auto-labeled
Looking for a versatile certification recommendation,discussion,auto-labeled
Cyber Engineer to Cyber Consultant,discussion,auto-labeled
Cyber security Job and career insight,discussion,auto-labeled
Career insight and personal experience of cyber security,discussion,auto-labeled
Tips on landing a job in vulnerability management?,discussion,auto-labeled
Googles cert for Cybersecurity,news,auto-labeled
"thoughts on googles cybersec course?. Has anyone completed this cert and what are your thoughts on it? I'm currently on cert 5/8 and I'm really liking it so far but it's definitely not a ""Professional Cert"" It seems to be super basic knowledge in all the stuff I've learned which is good! I went into it with no knowledge of most stuff, a",discussion,auto-labeled
Looking for some high-level feedback on how to mitigate risk when exposing an NAS to the Internet,discussion,auto-labeled
Can anyone tell me about running a cyber security consultancy business in the UK?,discussion,auto-labeled
Try Hack Me vs HTB for Entry Level Job,discussion,auto-labeled
"Secure phone as backup holding authenicator, password, etc",technical,auto-labeled
"Those of you who got tired of technical roles and moved to GRC: How are you liking it?. The title says it all. Definitely feel free to elaborate:

- What made you switch? 
- How are you liking it, and would you do it again knowing what you know now?
- Any change in work/life balance and stress levels?",discussion,auto-labeled
Part time Cyber Security roles with midnight hours.,discussion,auto-labeled
Lenovo banned at SLAC. I was looking up on the SLAC website [here](https://slacprod.servicenowservices.com/nav_to.do?uri=%2Fkb_view.do%3Fsysparm_article%3DKB0011588%26sysparm_rank%3D1%26sysparm_tsqueryId%3D46ebc4101ba1a1502bfc426de54bcb8e) says that Lenovo is banned. What could that mean and why?,discussion,auto-labeled
"Does wireguard VPN violate PCI DSS compliance. Context: I have a cyber security senior who informed me due to absence of MFA (or something with authentication not necessarily MFA, not able to recall) wireguard can't be used in a PCI DSS compliant environment.

Is this the case with standard Linux wireguard setup and if so does even tail scale fa",discussion,auto-labeled
New attorney trying to get a privacy/cybersecurity attorney job.. advice please,discussion,auto-labeled
Please I need advice. I am 22 years I left Africa in search of greener pasture here in USA I’m currently in college studying cyber security and also I’ll like to take a certification while I work to pay my school fee any advice on a certification I could take and how to build my indeed account to find jobs? Also where I ,discussion,auto-labeled
"Need some suggestions. Hi guys it has been 2 months since I started learning Cyber security. With programming knowledge of Java, c++ and the basics of Python which language I should go for learning next? I have been using htb for my learning journey where I found a lot of php scripts, ruby , may be JavaScript. But the thi",discussion,auto-labeled
How viable is EC-Council's certificates stack?,discussion,auto-labeled
High school student looking for guidance,discussion,auto-labeled
"Path after working for an year as an Internal IT Auditor. Hi everyone. Posting in this group for the first time, to get some guidance/suggestion/advice on the paths that an IT Auditor can follow.

To give you some background, I have masters in Information Security and 5 years of experience working in different roles like system administrator, consultant, c",discussion,auto-labeled
CCST cyber security certification,discussion,auto-labeled
"What should I expect?. Hi everyone, I will be going through my second interview for a position that I truly want (rmf related) 
I’m trying to figure out what they’re gonna ask since it’s the same people that interviewed me the first time. (Including hiring manager).
Any advice is greatly appreciated.",discussion,auto-labeled
Secure Cell Phone Service: Tips to Stay Protected. Ensuring the security of your [cell phone service](https://www.4freedommobile.com/) is a joint effort that requires the commitment of both service providers and consumers,discussion,auto-labeled
college freshman looking for advice,discussion,auto-labeled
"Vulnerability management plan. Been asked to develop a  vulnerability management program. Everywhere I seeing seethe basic steps.. identiy, remediate, scan and report..or something similar. The catch is I also have to identify the internet facing assets and eveeytime a new asset is found on the internet it has to be flagged..
I f",discussion,auto-labeled
College Freshman Seeking Advice,discussion,auto-labeled
Technology Development Program Interview – Cybersecurity Development Track (CDP),discussion,auto-labeled
Looking for cybersecurity job in federal.,discussion,auto-labeled
Coursera for breaking in to Cybersecurity (Red Team) role?,discussion,auto-labeled
Coursera for Beginner Cybersecurity Analyst?,discussion,auto-labeled
Someone is triying to get in my computer,discussion,auto-labeled
Security folks what personal VPN do you use and why?,discussion,auto-labeled
Searching For Penetration testing intern,discussion,auto-labeled
"TCAPS Experiences Cyber Security Incident, School Closed Monday. Traverse City, MI schools district is closed tomorrow because of cyber attack.",news,auto-labeled
Thwarted supply-chain hack sets off alarm bells across DC,news,auto-labeled
"How do I select universities for Cyber Security in Germany??. Hi, I've been wondering on how to choose a university to pursue my Masters in Cyber Security. As I have zero knowledge regarding this, can anyone help me out with how can I select the university?

* What should I look out for?
* How would I know if the selected university is good or not?
* Where do ",discussion,auto-labeled
join our CompTIA study group for free study material and assistance getting your CompTIA certification,discussion,auto-labeled
"Next steps. Fellas,

I'm about to finish the Google security cert, with the plan being tomove onto security + directly after that, and blue team level 1 after that. I'm also working on tryhackme, and additionally have the cert for wireshark and Microsoft defender from coursera. 

I'm looking to get into a low l",discussion,auto-labeled
Why does Shein's architecture make client-side calls directly to their REST API?,technical,auto-labeled
"Managed Engine Log360. We’ve had the whole Log360 suite with event analyzer for about 3 months now. Each day the siem alerts and on between 6-10k critical alerts. Most of them are “malicious source detected” alerts. I created a workflow that takes the ips from those alerts and copies them to a text document. 

Every day I",technical,auto-labeled
Where can I find information about the virus that infected my PC?,discussion,auto-labeled
ROP Emporium - ret2win Buffer Overflow Challenge,technical,auto-labeled
am i on the right path for getting into Cyber,discussion,auto-labeled
"TryHackMe as a Homelab. Hello all, 

I'm looking to beef up my résumé, and I know the obvious weakness is the lack of a homelab. If I were to complete several levels of TryHackMe and be continuously engaged with learning on that website, would that be something that recruiters/hiring managers accept as a homelab?",discussion,auto-labeled
Question about Google OAUTH guide for Desktop apps,technical,auto-labeled
"Luna HSM. Hello!,
Could someone please recommend where I can read  or take a course about how to implement and manage a Luna HSM device?
Thank you!",discussion,auto-labeled
Resources to build a good foundation,discussion,auto-labeled
"Incident Response possible technical interview questions. For context, they're looking for someone to fill gaps on their team in code searching and finding vulns in-line after an incident. I'm comfortable doing that since it's part of my current job, but the hiring manager said I should expect questions about my own coding projects. What kind of questions ",technical,auto-labeled
Can i still pursue cybersecurity?,discussion,auto-labeled
Survey: Cybersecurity talent acquisition and retainment in the Department of Defense,news,auto-labeled
Looking for advice as a HS student,discussion,auto-labeled
"Some people work because they're lucky not because they're good.. Oh man, I'm doing some pentest work for this client and their Security Lead has the same knowledge as a fresh Uni-Graduate

It's for one of the biggest companies of Portugal, they're leaking all of their Clients personal data and the guy replies with the most absurd arguments I've seen, trying to de",discussion,auto-labeled
"Fix CVE-2024-3094 XZ utils. Still processing the CVE-2024-3094 nightmare?  
If you are using 5.6.0 and 5.6.1 of XZ Utils and if you HAVEN'T already,  
One of the 2 things you should do IMMEDIATELY as a developer, engineer manager or CTO -  
1. Downgrade XZ Utils to an uncompromised older version—such as XZ Utils 5.4.6 Stable  ",technical,auto-labeled
Infosys Incident and IT Services,news,auto-labeled
Unprecedented Data Breach Exposes 26 Billion Records,news,auto-labeled
"Does Microsoft Secure Microsoft 365 Data?. Microsoft 365 offers businesses a suite of cloud-based productivity tools and storage solutions. But how secure is your data on this platform? Let's dive into Microsoft's security measures and the potential risks involved.

🛡️ **Microsoft 365 Security Features**:

* Data encryption.
* Multi-factor",technical,auto-labeled
"Ransomware Defense: Detecting and Responding to Attacks. 📣 New Blog Post Alert! 🔒
  

  
**""Ransomware Defense: Detecting and Responding to Attacks""**
  

  
Ransomware is a growing cybersecurity threat, encrypting data and demanding ransom. Learn how to detect, respond, and defend against ransomware attacks to safeguard your data and organization.
  

  ",news,auto-labeled
"CVE-2024-3094 help understanding. A lot of scripts are using this : f30f1efa554889f54c89ce5389fb81e7000000804883ec28488954241848894c2410 to check for malicious actiivity. Where does this value come from?

Also they mention the tarball is also compromised, does this tarball come from github or from where?

&#x200B;

Thank you in adva",technical,auto-labeled
AI Security. https://github.com/EzgiKorkmaz/adversarial-reinforcement-learning,technical,auto-labeled
"From OneNote to RansomNote: An Ice Cold Intrusion. In late February 2023, threat actors rode a wave of initial access using Microsoft OneNote files. In this case, we observed a threat actor deliver IcedID using this method. The threat actor used FileZilla to exfiltrate data from the network before deploying Nokoyawa ransomware.
  

  
https://thedfi",technical,auto-labeled
How to secure my 2FA backup keys when exporting my password manager vault?,technical,auto-labeled
Find backdoors in my Windows laptop,technical,auto-labeled
The Perfect Storm: Lack of Security and Cloud Skills,news,auto-labeled
Imperva Web Application Firewall Flaw Let Attackers Bypass WAF Rules,news,auto-labeled
The Latest in Incident Response - Most Privilege Access,technical,auto-labeled
We've been doing least privilege access all wrong. Least privilege access is important but has shown its limitations during incidents. As a result entitle.io dropped a new feature that instantly empowers EVERYONE in the organization with full admin rights to combat cyber threats collectively. No more waiting for access during emergencies! Here's how,technical,auto-labeled
"How to find domain credentials on an internal infrastructure test. When on an internal infrastructure test, how does one go about getting domain creds? What are the things I should look out for and what tools do you recommend? 

 I know relaying is a good way but I still need clarity and a step by step guide on how to spice up my internal infrastructure tests to en",technical,auto-labeled
AT&amp;T confirms data for 73 million customers leaked on hacker forum,news,auto-labeled
AT&T confirms data for 73 million customers leaked on hacker forum,news,auto-labeled
"Buy Old GitHub Account - Real, Legit & Fast Delivery",news,auto-labeled
"Related to a post I saw here about a month back: CISA and FBI urge mfgs. to eliminate SQL injection vulnerabilities. I remember seeing a post a while ago questioning why SQL vulnerabilities are a problem, so I thought it'd be good to post this.  


https://www.cisa.gov/news-events/alerts/2024/03/25/cisa-and-fbi-release-secure-design-alert-urge-manufacturers-eliminate-sql-injection-vulnerabilities",news,auto-labeled
FTC: Americans lost $1.1 billion to impersonation scams in 2023. 26% scams conducted via email,news,auto-labeled
Cloud Email Filtering Bypass Attack Works 80% of the Time,technical,auto-labeled
It's never been more over. https://thehackernews.com/2024/03/the-golden-age-of-automated-penetration.html,news,auto-labeled
AI Hallucinated dependencies Open A New Door For Malware,news,auto-labeled
"Characteristics, Tools, Services, etc. of MSSPs",technical,auto-labeled
Linux has been hacked at last!,news,auto-labeled
There is a new tool for instagram INSTATOOL: a python tool that allows you to automatically unfollow people who don't follow you back. Super fast !! github repo: cyberpeppe/instatool,technical,auto-labeled
How to securely encrypt a backup with a simple password,technical,auto-labeled
"Patelco Credit Union. [https://www.fresnobee.com/news/california/article289648040.html](https://www.fresnobee.com/news/california/article289648040.html)

TLDR: 500,000 credit union member’s account access down since early Saturday am  6/28/24, including direct deposits, balances, transfers. ATM/debit cards have some avai",news,auto-labeled
"Brief #58: ChamelGang APT, P2Pinfect Malware, TeamViewer Breach, CISO Role Evolution",news,auto-labeled
Fake IT support sites push malicious PowerShell scripts as Windows fixes,news,auto-labeled
"regreSSHion: RCE in OpenSSH's server, on glibc-based Linux systems",technical,auto-labeled
"Critical updates alerting solution. Hi,

We're a small business with approximately 70 staff over two sites.  I'm currently having to manually check manufacturers web sites and CVE sites to see if there are critical vulnerabilities that need patching or whether there are non-critical updates that need installing.  This is for both netw",technical,auto-labeled
"From November 1, the world’s most-used web browser will no longer trust digital certificates issued by Entrust",news,auto-labeled
Is there a way to upload a code to a NFC card to access door terminals.,technical,auto-labeled
"security requirements template. I am in the process of drafting a ""**security requirements**"" document (for my organization). Essentially, this document is provided to companies we intend to partner with, outlining the minimum security requirements they must meet to protect our data and maintain our business relationship.

Does an",technical,auto-labeled
NordVPN is launching a community council program,news,auto-labeled
Open-Sourced Infostealers About to Fuel New Wave of Computer Infections,news,auto-labeled
Remote Unauthenticated Code Execution Vulnerability in OpenSSH,technical,auto-labeled
Network Segmentation Saved TeamViewer From APT29 Attack. [https://www.darkreading.com/cyberattacks-data-breaches/teamviewer-network-segmentation-apt29-attack](https://www.darkreading.com/cyberattacks-data-breaches/teamviewer-network-segmentation-apt29-attack),news,auto-labeled
"Source: Ukrainian cyberattack leaves at least 250,000 consumers without connection in Russian-occupied territories",news,auto-labeled
Critical OpenSSH Vulnerability (CVE-2024-6387) | Everything you need to know,technical,auto-labeled
Free Course: Cybersecurity for Everyone By University of Maryland,news,auto-labeled
What happens after ransom not paid in ramsonware,technical,auto-labeled
"I wrote a simple keylogger to understand how it works. Feedback is welcome :). The program intercepts the keys and takes screenshots only in the programs that we specify in the settings. In addition, the output file will contain the name of the browser tab where the user entered the data. It will then send the logs to your email. (set send\_logs to True in config.py, and spy\_",technical,auto-labeled
Indonesian government didn't backup ransomwared data,news,auto-labeled
I received an email from my email,news,auto-labeled
"A guy named Suraj Nityanand ""Neyoo"" Majumdar is abusing a small child's with explicit comments during a public YouTube stream. Please take urgent action.",news,auto-labeled
"10-Year-Old Open Source Flaw Could Affect 'Almost Every Apple Device'. This seems like one of those software supply chain bugs that's going to take a very long time to eradicate.

Some of the most widely used web and social media applications could be vulnerable to three newly discovered CocoaPods vulnerabilities — including potentially millions of Apple devices, [acco",news,auto-labeled
OpenSSH Potential remote code execution - Race condition in SIGALRM handling code,technical,auto-labeled
How to Buy CCs and CVVs with Bitcoin on bidencash.me (Educational Purposes Only),technical,auto-labeled
Inside a Rilide infostealer campaign: exploiting a misconfigured Telegram bot to uncover infected devices from a malware sample,technical,auto-labeled
Ethical hacking exam preparation guide,technical,auto-labeled
Resources on Hardware Vulnerabilities and Exploits,technical,auto-labeled
"Linux kernel config based CVE tracking. Hi all,

In an industry that is since recently subject to new cybersecurity regulations I've inherited a project using a rather old kernel (4.12). A kernel update is unfortunately not realistically possible. I've setup Dependency Track for CVE tracking and written some code that automatically audits",technical,auto-labeled
Unlocked computer in hospital exam room — Should I Be Worried?,news,auto-labeled
Millions of Vehicles Could Be Hacked and Tracked Thanks to a Simple Website Bug,news,auto-labeled
Apple Intelligence Promises Better AI Privacy. Here’s How It Actually Works,news,auto-labeled
Cybersecurity Implementation Research,technical,auto-labeled
Introducing Suri Oculus: An Efficient Solution for IDS Suricata Without Using the ELK Stack,technical,auto-labeled
Tired of Chasing Threats? Let AI Do the Work—Join to Learn How,news,auto-labeled
Security Control Assurance Program,technical,auto-labeled
"Security Control Assurance Program. Hi All, I'm developing a Control Assurance program to ensure the effectiveness of our organisation's security controls throughout the design, implementation, and operational phases. As part of this effort, we’re considering adopting NIST SP800-53Ar5 as a foundational framework.

Has anyone successfu",technical,auto-labeled
"Xiaomi Mi Router 3 security question. Hi Guys,

I was just shocked: my collegaue bought a Xiaomi Mi Router 3 to our company.

Ok, never mind, let's portscan it with nmap.

Open ports: 8192, 8080, 8193, 8383, 8899. All of them are using HTTP protocols. So I checked them with my browser.

Results of the http ports: #1. http 500 error code",technical,auto-labeled
"Homelab SIEM - rules & mitre att&ck coverage or other KPIs to measure success?. hey Guys,

i started to setup an elastic SIEM on a bunch of VMs for my thesis. My goal is to setup an environment that is capable of blocking several incidents / malware / phishing tries that i will later install on those VMs and review the outcome.

At the moment i loaded the default ruleset that c",technical,auto-labeled
Rhadamanthys Stealer v0.7 Adds AI-Powered OCR for Password Extraction,technical,auto-labeled
"Unprecedented Attack: Deliberate Shutdown of U.S. Electrical Grid Targets Cell Towers, Impacting Verizon and Other Carriers. Wondering if anyone was affected by this and to what extent, also what do you think could have been done to prevent this alleged deliberate attack? [https://x.com/ShadowofEzra/status/1840865039416226112](https://x.com/ShadowofEzra/status/1840865039416226112)",news,auto-labeled
Simplifying the Cybersecurity Certification Maze with CyberPath,technical,auto-labeled
"Found some Gemini Pro Container Internals with prompting it to execute certain commands. I was asking Gemini to run commands and realized it must be using isolated sandbox. It is using bookworm. If you can White Hat find vulnerabilities in the package versions, you can report to google and maybe get a bounty. They are using Bazel and protobuf.

The current Linux distribution is: Debian ",technical,auto-labeled
"open-source (C2-framework). Hello, I want to share my first open-source project (C2-framework), and I’d love to get your feedback.

and I really welcome anyone who wants to build this project with me (emoji).  
Now the project is fine. I have a cli/ c2-server / implant   
and the implant did bypass the Windows Defender static ",technical,auto-labeled
Continuous Threat Exposure Management (CTEM),technical,auto-labeled
[Malaysia] Indah Water Konsortium Data Breach,news,auto-labeled
PyTorch discloses malicious dependency chain compromise over holidays,news,auto-labeled
"Random pull request on public JS project repos using NPM. This GitHub user is poking around on public repos, seems like trying to find exploits using automated GitHub workflows. 

He's opening and closing pull requests (like [this one](https://github.com/deliveroo/merge-pr-to-branch/pull/38)) on projects using NPM, with ""test"" file changes on \`.gitignore\",technical,auto-labeled
"Mass Scanning Android Malware Samples of 2022. Hey folks,
Yesterday I released a report related to mass scanning android malware samples discovered in the year 2022 from platforms like vx-underground and malwarebazaar. The report focuses on things such as permission requirements, secret exposures, app misconfigurations and much more related to t",technical,auto-labeled
The government has required mandatory registration of sim cards.,news,auto-labeled
Cybersecurity Resume Tools/Technologies,technical,auto-labeled
US passes the Quantum Computing Cybersecurity Preparedness Act – and why not?,news,auto-labeled
6 Ways to protect your organization against LAPSUS$,news,auto-labeled
"Are elusive vulnerabilities still relevant ?. By elusive here i am speaking about exploits like request smuggling,cache deception,cache poison,Json interoperability https://bishopfox.com/blog/json-interoperability-vulnerabilities

I have read a couple of articles on portswagger that said these vulnerabilities are on the top list in 2022 ,and ma",technical,auto-labeled
Cyber Threat Intelligence Roadmap,technical,auto-labeled
"What are some specific examples of EDR, HIPS and HIDS software?. I'm looking specifically for real life application examples to try and differentiate how they differ in capability. It seems like there's a lot of overlap with HIDS/HIPS/AV, in particular. I see more so how EDRs are different than the aforementioned. 

(e.g. antivirus software: Microsoft Defender, M",technical,auto-labeled
"An article by Microsoft came out targeting LAPSU$. 🤷‍♂️ It’s not worth your time. Except for this one part.. An article by Microsoft came out targeting LAPSUS$ (aka DEV-0537). 🤷‍♂️ It’s not worth your time. That is, not if you’ve spent ten minutes in your life studying modern MFA best-practices.

MITRE Reference: https://lnkd.in/gHmUcP9T

But there was one⚱️golden nugget I’ve never considered and think is ",technical,auto-labeled
"Ransomware gang apologizes, gives SickKids hospital free decryptor",news,auto-labeled
Help with nvidia drivers in Parrot os (RTX 2060),technical,auto-labeled
Cloud Phishing: New Tricks and the Crown Jewel,news,auto-labeled
New Linux malware targets WordPress sites by exploiting 30 bugs,news,auto-labeled
Personal health information of 42M Americans leaked between 2016 and 2021,news,auto-labeled
How does AES-256 or AES-192 works?,technical,auto-labeled
"I can add items to another user ‘s cart ,but only if i have the User ID and cart ID,is this a valid bug?. I searched for pages or endpoints where the user id is returned or where i can enumerate other users but I can’t find anything. It’s a unique id . 
Cart id is also unique but kinda sequential and easy to guess. 

The way i found this bug was as following:
1-Created 2 accounts
2-Try adding items to c",technical,auto-labeled
Applying Zero Trust at the file level: Anchor CEO,technical,auto-labeled
Weird device connected to my Facebook and Gmail,news,auto-labeled
Practical cloud security overview,technical,auto-labeled
South Korea’s online security dead end,news,auto-labeled
Building Red and Blue Teaming Infrastructure.,technical,auto-labeled
"T95 Android TV (Allwinner H616) includes malware right out-of-the-box. A few months ago I purchased a [T95 Android TV](https://m.media-amazon.com/images/I/716SS0ze8pL.jpg) box, it came with Android 10 (with working Play store) and an Allwinner H616 processor.   It's a small-ish black box with a blue swirly graphic on top and a digital clock on the front.

There are [to",technical,auto-labeled
2023 Cybersecurity Anti-Predictions,news,auto-labeled
